email_text,label
Let's discuss potential sponsorship opportunities.,sponsorship
Get your exclusive loyalty rewards now!,promotion
It was great seeing you last weekend!,personal
Flash sale! Up to 70% off only for today.,promotion
Let's schedule a call for the next quarter planning.,business
You have been selected for a cash reward.,spam
Please find the attached project report.,business
You have been selected for a cash reward.,spam
Kindly review the meeting agenda beforehand.,business
Congratulations! You've won a prize! Claim now.,spam
Get your exclusive loyalty rewards now!,promotion
Please find the attached project report.,business
Flash sale! Up to 70% off only for today.,promotion
"Introducing our new product line, available now.",promotion
We would like to feature your brand in our campaign.,sponsorship
Earn $5000 a week from home! Click here.,spam
Flash sale! Up to 70% off only for today.,promotion
Earn $5000 a week from home! Click here.,spam
Invoice for last month's services is attached.,business
Looking forward to our collaboration on the new project.,business
Get rich fast with this simple method!,spam
Congratulations! You've won a prize! Claim now.,spam
Special discount on your next purchase!,promotion
Just checking in. Hope everything is good with you.,personal
Limited time offer! Buy 1 get 1 free.,spam
Get rich fast with this simple method!,spam
Special discount on your next purchase!,promotion
Excited to partner with you for your next project.,sponsorship
Happy Birthday! Wishing you a wonderful year ahead.,personal
Proposal for sponsorship collaboration attached.,sponsorship
"Hey, how have you been? Let's catch up soon!",personal
Earn $5000 a week from home! Click here.,spam
Proposal for sponsorship collaboration attached.,sponsorship
Congratulations! You've won a prize! Claim now.,spam
Please find the attached project report.,business
We are interested in sponsoring your upcoming event.,sponsorship
Congratulations! You've won a prize! Claim now.,spam
Pre-order our upcoming release and save big.,promotion
You have been selected for a cash reward.,spam
Proposal for sponsorship collaboration attached.,sponsorship
Proposal for sponsorship collaboration attached.,sponsorship
Happy Birthday! Wishing you a wonderful year ahead.,personal
It was great seeing you last weekend!,personal
We would like to feature your brand in our campaign.,sponsorship
We would like to feature your brand in our campaign.,sponsorship
Pre-order our upcoming release and save big.,promotion
Earn $5000 a week from home! Click here.,spam
We are interested in sponsoring your upcoming event.,sponsorship
Limited time offer! Buy 1 get 1 free.,spam
Excited to partner with you for your next project.,sponsorship
Just checking in. Hope everything is good with you.,personal
"Introducing our new product line, available now.",promotion
"Introducing our new product line, available now.",promotion
Pre-order our upcoming release and save big.,promotion
We are interested in sponsoring your upcoming event.,sponsorship
Limited time offer! Buy 1 get 1 free.,spam
"Hey, how have you been? Let's catch up soon!",personal
It was great seeing you last weekend!,personal
Please find the attached project report.,business
Flash sale! Up to 70% off only for today.,promotion
You have been selected for a cash reward.,spam
Are you free for coffee this Saturday?,personal
Earn $5000 a week from home! Click here.,spam
Excited to partner with you for your next project.,sponsorship
Limited time offer! Buy 1 get 1 free.,spam
Get rich fast with this simple method!,spam
Please find the attached project report.,business
Happy Birthday! Wishing you a wonderful year ahead.,personal
Kindly review the meeting agenda beforehand.,business
Just checking in. Hope everything is good with you.,personal
Excited to partner with you for your next project.,sponsorship
Proposal for sponsorship collaboration attached.,sponsorship
"Hey, how have you been? Let's catch up soon!",personal
Let's discuss potential sponsorship opportunities.,sponsorship
"Introducing our new product line, available now.",promotion
Get rich fast with this simple method!,spam
Pre-order our upcoming release and save big.,promotion
Looking forward to our collaboration on the new project.,business
Limited time offer! Buy 1 get 1 free.,spam
"Introducing our new product line, available now.",promotion
We are interested in sponsoring your upcoming event.,sponsorship
Limited time offer! Buy 1 get 1 free.,spam
"Introducing our new product line, available now.",promotion
Special discount on your next purchase!,promotion
Are you free for coffee this Saturday?,personal
Limited time offer! Buy 1 get 1 free.,spam
We would like to feature your brand in our campaign.,sponsorship
Limited time offer! Buy 1 get 1 free.,spam
Excited to partner with you for your next project.,sponsorship
Proposal for sponsorship collaboration attached.,sponsorship
Let's discuss potential sponsorship opportunities.,sponsorship
Just checking in. Hope everything is good with you.,personal
Get rich fast with this simple method!,spam
Get your exclusive loyalty rewards now!,promotion
Congratulations! You've won a prize! Claim now.,spam
Congratulations! You've won a prize! Claim now.,spam
Looking forward to our collaboration on the new project.,business
Earn $5000 a week from home! Click here.,spam
Pre-order our upcoming release and save big.,promotion
Looking forward to our collaboration on the new project.,business
Let's schedule a call for the next quarter planning.,business
Flash sale! Up to 70% off only for today.,promotion
Flash sale! Up to 70% off only for today.,promotion
Get your exclusive loyalty rewards now!,promotion
Proposal for sponsorship collaboration attached.,sponsorship
Excited to partner with you for your next project.,sponsorship
Invoice for last month's services is attached.,business
Get rich fast with this simple method!,spam
Just checking in. Hope everything is good with you.,personal
You have been selected for a cash reward.,spam
Special discount on your next purchase!,promotion
Excited to partner with you for your next project.,sponsorship
Let's schedule a call for the next quarter planning.,business
Excited to partner with you for your next project.,sponsorship
Congratulations! You've won a prize! Claim now.,spam
Happy Birthday! Wishing you a wonderful year ahead.,personal
Limited time offer! Buy 1 get 1 free.,spam
Are you free for coffee this Saturday?,personal
Looking forward to our collaboration on the new project.,business
Pre-order our upcoming release and save big.,promotion
You have been selected for a cash reward.,spam
Happy Birthday! Wishing you a wonderful year ahead.,personal
"Hey, how have you been? Let's catch up soon!",personal
Are you free for coffee this Saturday?,personal
Get rich fast with this simple method!,spam
Get your exclusive loyalty rewards now!,promotion
Get rich fast with this simple method!,spam
"Hey, how have you been? Let's catch up soon!",personal
"Introducing our new product line, available now.",promotion
"Introducing our new product line, available now.",promotion
"Hey, how have you been? Let's catch up soon!",personal
Let's discuss potential sponsorship opportunities.,sponsorship
We would like to feature your brand in our campaign.,sponsorship
Special discount on your next purchase!,promotion
Invoice for last month's services is attached.,business
Special discount on your next purchase!,promotion
Get your exclusive loyalty rewards now!,promotion
Flash sale! Up to 70% off only for today.,promotion
Proposal for sponsorship collaboration attached.,sponsorship
Just checking in. Hope everything is good with you.,personal
Excited to partner with you for your next project.,sponsorship
Are you free for coffee this Saturday?,personal
Looking forward to our collaboration on the new project.,business
Get your exclusive loyalty rewards now!,promotion
You have been selected for a cash reward.,spam
It was great seeing you last weekend!,personal
Proposal for sponsorship collaboration attached.,sponsorship
We would like to feature your brand in our campaign.,sponsorship
Excited to partner with you for your next project.,sponsorship
Get your exclusive loyalty rewards now!,promotion
Looking forward to our collaboration on the new project.,business
Happy Birthday! Wishing you a wonderful year ahead.,personal
It was great seeing you last weekend!,personal
Looking forward to our collaboration on the new project.,business
We are interested in sponsoring your upcoming event.,sponsorship
Let's discuss potential sponsorship opportunities.,sponsorship
Let's discuss potential sponsorship opportunities.,sponsorship
Get rich fast with this simple method!,spam
Special discount on your next purchase!,promotion
We are interested in sponsoring your upcoming event.,sponsorship
Get rich fast with this simple method!,spam
Just checking in. Hope everything is good with you.,personal
Earn $5000 a week from home! Click here.,spam
Are you free for coffee this Saturday?,personal
Congratulations! You've won a prize! Claim now.,spam
Congratulations! You've won a prize! Claim now.,spam
Special discount on your next purchase!,promotion
Proposal for sponsorship collaboration attached.,sponsorship
Just checking in. Hope everything is good with you.,personal
Looking forward to our collaboration on the new project.,business
We are interested in sponsoring your upcoming event.,sponsorship
It was great seeing you last weekend!,personal
You have been selected for a cash reward.,spam
Just checking in. Hope everything is good with you.,personal
Let's discuss potential sponsorship opportunities.,sponsorship
Kindly review the meeting agenda beforehand.,business
Congratulations! You've won a prize! Claim now.,spam
Please find the attached project report.,business
Earn $5000 a week from home! Click here.,spam
It was great seeing you last weekend!,personal
Happy Birthday! Wishing you a wonderful year ahead.,personal
Invoice for last month's services is attached.,business
Invoice for last month's services is attached.,business
Happy Birthday! Wishing you a wonderful year ahead.,personal
Let's schedule a call for the next quarter planning.,business
We would like to feature your brand in our campaign.,sponsorship
Are you free for coffee this Saturday?,personal
Happy Birthday! Wishing you a wonderful year ahead.,personal
Earn $5000 a week from home! Click here.,spam
Flash sale! Up to 70% off only for today.,promotion
Flash sale! Up to 70% off only for today.,promotion
Special discount on your next purchase!,promotion
It was great seeing you last weekend!,personal
Earn $5000 a week from home! Click here.,spam
Excited to partner with you for your next project.,sponsorship
Earn $5000 a week from home! Click here.,spam
Flash sale! Up to 70% off only for today.,promotion
Let's discuss potential sponsorship opportunities.,sponsorship
Congratulations! You've won a prize! Claim now.,spam
Congratulations! You've won a prize! Claim now.,spam
You have been selected for a cash reward.,spam
It was great seeing you last weekend!,personal
Let's discuss potential sponsorship opportunities.,sponsorship
Flash sale! Up to 70% off only for today.,promotion
Kindly review the meeting agenda beforehand.,business
Just checking in. Hope everything is good with you.,personal
Excited to partner with you for your next project.,sponsorship
Please find the attached project report.,business
Get your exclusive loyalty rewards now!,promotion
Earn $5000 a week from home! Click here.,spam
Kindly review the meeting agenda beforehand.,business
We would like to feature your brand in our campaign.,sponsorship
Please find the attached project report.,business
Special discount on your next purchase!,promotion
We would like to feature your brand in our campaign.,sponsorship
Special discount on your next purchase!,promotion
Let's discuss potential sponsorship opportunities.,sponsorship
Please find the attached project report.,business
Happy Birthday! Wishing you a wonderful year ahead.,personal
Invoice for last month's services is attached.,business
Get your exclusive loyalty rewards now!,promotion
You have been selected for a cash reward.,spam
Proposal for sponsorship collaboration attached.,sponsorship
Invoice for last month's services is attached.,business
Let's schedule a call for the next quarter planning.,business
Looking forward to our collaboration on the new project.,business
Happy Birthday! Wishing you a wonderful year ahead.,personal
Excited to partner with you for your next project.,sponsorship
It was great seeing you last weekend!,personal
Get your exclusive loyalty rewards now!,promotion
Congratulations! You've won a prize! Claim now.,spam
Please find the attached project report.,business
We would like to feature your brand in our campaign.,sponsorship
Invoice for last month's services is attached.,business
"Introducing our new product line, available now.",promotion
Limited time offer! Buy 1 get 1 free.,spam
"Hey, how have you been? Let's catch up soon!",personal
Please find the attached project report.,business
Are you free for coffee this Saturday?,personal
Looking forward to our collaboration on the new project.,business
Special discount on your next purchase!,promotion
You have been selected for a cash reward.,spam
Get rich fast with this simple method!,spam
Please find the attached project report.,business
We are interested in sponsoring your upcoming event.,sponsorship
Limited time offer! Buy 1 get 1 free.,spam
Let's schedule a call for the next quarter planning.,business
Let's schedule a call for the next quarter planning.,business
Invoice for last month's services is attached.,business
Please find the attached project report.,business
Excited to partner with you for your next project.,sponsorship
We would like to feature your brand in our campaign.,sponsorship
"Introducing our new product line, available now.",promotion
Please find the attached project report.,business
Flash sale! Up to 70% off only for today.,promotion
Are you free for coffee this Saturday?,personal
We are interested in sponsoring your upcoming event.,sponsorship
Get rich fast with this simple method!,spam
Limited time offer! Buy 1 get 1 free.,spam
Earn $5000 a week from home! Click here.,spam
Proposal for sponsorship collaboration attached.,sponsorship
Flash sale! Up to 70% off only for today.,promotion
Limited time offer! Buy 1 get 1 free.,spam
We are interested in sponsoring your upcoming event.,sponsorship
Let's discuss potential sponsorship opportunities.,sponsorship
Invoice for last month's services is attached.,business
It was great seeing you last weekend!,personal
Special discount on your next purchase!,promotion
We are interested in sponsoring your upcoming event.,sponsorship
Just checking in. Hope everything is good with you.,personal
"Hey, how have you been? Let's catch up soon!",personal
Kindly review the meeting agenda beforehand.,business
Proposal for sponsorship collaboration attached.,sponsorship
Proposal for sponsorship collaboration attached.,sponsorship
Happy Birthday! Wishing you a wonderful year ahead.,personal
We are interested in sponsoring your upcoming event.,sponsorship
Proposal for sponsorship collaboration attached.,sponsorship
Special discount on your next purchase!,promotion
Kindly review the meeting agenda beforehand.,business
Happy Birthday! Wishing you a wonderful year ahead.,personal
Limited time offer! Buy 1 get 1 free.,spam
Looking forward to our collaboration on the new project.,business
Are you free for coffee this Saturday?,personal
"Hey, how have you been? Let's catch up soon!",personal
Just checking in. Hope everything is good with you.,personal
Kindly review the meeting agenda beforehand.,business
Earn $5000 a week from home! Click here.,spam
You have been selected for a cash reward.,spam
Pre-order our upcoming release and save big.,promotion
Proposal for sponsorship collaboration attached.,sponsorship
Looking forward to our collaboration on the new project.,business
Limited time offer! Buy 1 get 1 free.,spam
Pre-order our upcoming release and save big.,promotion
It was great seeing you last weekend!,personal
Looking forward to our collaboration on the new project.,business
Are you free for coffee this Saturday?,personal
Excited to partner with you for your next project.,sponsorship
Looking forward to our collaboration on the new project.,business
Kindly review the meeting agenda beforehand.,business
Get rich fast with this simple method!,spam
Get rich fast with this simple method!,spam
We are interested in sponsoring your upcoming event.,sponsorship
Proposal for sponsorship collaboration attached.,sponsorship
You have been selected for a cash reward.,spam
"Hey, how have you been? Let's catch up soon!",personal
Special discount on your next purchase!,promotion
"Hey, how have you been? Let's catch up soon!",personal
Happy Birthday! Wishing you a wonderful year ahead.,personal
Special discount on your next purchase!,promotion
Pre-order our upcoming release and save big.,promotion
Limited time offer! Buy 1 get 1 free.,spam
Flash sale! Up to 70% off only for today.,promotion
We would like to feature your brand in our campaign.,sponsorship
We would like to feature your brand in our campaign.,sponsorship
Get your exclusive loyalty rewards now!,promotion
Special discount on your next purchase!,promotion
Excited to partner with you for your next project.,sponsorship
Congratulations! You've won a prize! Claim now.,spam
Looking forward to our collaboration on the new project.,business
Let's schedule a call for the next quarter planning.,business
"Introducing our new product line, available now.",promotion
Proposal for sponsorship collaboration attached.,sponsorship
Invoice for last month's services is attached.,business
Limited time offer! Buy 1 get 1 free.,spam
Let's discuss potential sponsorship opportunities.,sponsorship
Let's discuss potential sponsorship opportunities.,sponsorship
"Hey, how have you been? Let's catch up soon!",personal
"Introducing our new product line, available now.",promotion
Let's schedule a call for the next quarter planning.,business
Happy Birthday! Wishing you a wonderful year ahead.,personal
Happy Birthday! Wishing you a wonderful year ahead.,personal
Proposal for sponsorship collaboration attached.,sponsorship
You have been selected for a cash reward.,spam
"Hey, how have you been? Let's catch up soon!",personal
Congratulations! You've won a prize! Claim now.,spam
Let's schedule a call for the next quarter planning.,business
Limited time offer! Buy 1 get 1 free.,spam
Please find the attached project report.,business
We would like to feature your brand in our campaign.,sponsorship
Happy Birthday! Wishing you a wonderful year ahead.,personal
Please find the attached project report.,business
Limited time offer! Buy 1 get 1 free.,spam
Invoice for last month's services is attached.,business
"Hey, how have you been? Let's catch up soon!",personal
Earn $5000 a week from home! Click here.,spam
We are interested in sponsoring your upcoming event.,sponsorship
Let's schedule a call for the next quarter planning.,business
Earn $5000 a week from home! Click here.,spam
Earn $5000 a week from home! Click here.,spam
Just checking in. Hope everything is good with you.,personal
Get rich fast with this simple method!,spam
Limited time offer! Buy 1 get 1 free.,spam
Get your exclusive loyalty rewards now!,promotion
Get rich fast with this simple method!,spam
Are you free for coffee this Saturday?,personal
Happy Birthday! Wishing you a wonderful year ahead.,personal
Limited time offer! Buy 1 get 1 free.,spam
Let's discuss potential sponsorship opportunities.,sponsorship
Let's discuss potential sponsorship opportunities.,sponsorship
Excited to partner with you for your next project.,sponsorship
Happy Birthday! Wishing you a wonderful year ahead.,personal
Limited time offer! Buy 1 get 1 free.,spam
Looking forward to our collaboration on the new project.,business
Invoice for last month's services is attached.,business
Happy Birthday! Wishing you a wonderful year ahead.,personal
Get rich fast with this simple method!,spam
Invoice for last month's services is attached.,business
Please find the attached project report.,business
Invoice for last month's services is attached.,business
We are interested in sponsoring your upcoming event.,sponsorship
Get your exclusive loyalty rewards now!,promotion
Congratulations! You've won a prize! Claim now.,spam
Earn $5000 a week from home! Click here.,spam
Looking forward to our collaboration on the new project.,business
Get rich fast with this simple method!,spam
Please find the attached project report.,business
"Introducing our new product line, available now.",promotion
Congratulations! You've won a prize! Claim now.,spam
Looking forward to our collaboration on the new project.,business
